"Count","Name"
"3","D:\projects\admin-dashboard\app\(admin)\reports\patients\components\PatientList.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\ImportHealthPanel.tsx"
"3","D:\projects\admin-dashboard\app\components\admin\AdminBreadcrumbs.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\SelectField.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\reports\analytics\components\AnalyticsHero.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\users\components\UserRowCard.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\users\components\UsersStats.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\layout.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersHeader.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\reports\delivery\page.tsx"
"3","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospiceFilters.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipAnalytics.tsx"
"2","D:\projects\admin-dashboard\app\components\modals\shared\ModalShell.tsx"
"2","D:\projects\admin-dashboard\app\components\modals\shared\ModalHeader.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipStatusBadge.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipLoadingState.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\settings\components\PageHeader.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\settings\components\users\UserCreateCard.tsx"
"2","D:\projects\admin-dashboard\app\components\ui\PageHeader.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\users\components\TextInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\users\components\SelectInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\settings\components\shared\Field.tsx"
"2","D:\projects\admin-dashboard\app\components\auth\StaffOrAdmin.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\settings\components\shared\InfoCard.tsx"
"2","D:\projects\admin-dashboard\app\components\admin\AdminShell.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\settings\components\shared\SectionHeader.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadSettingsCards.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\Textarea.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\TextInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\SelectInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\SelectField.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\SearchInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospiceEmptyState.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryBatchActions.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\SectionHeader.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\GlassCard.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\Textarea.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\analytics\components\AnalyticsFilterCard.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\TextInput.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospiceStatsGrid.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientNotesSection.tsx"
